"MainID","CommonName","SeriesStep","SampleYear","Population","PopulationUntransformed","PopRescale","PopRescale_fd","PopRescale_log","PopRescale_gr"
1,"Hazel grouse",0,1959,130,130,1.68340041448557,NA,0.520815804014607,NA
1,"Hazel grouse",1,1960,0,0,0.0128503848434013,-1.67055002964217,-4.35438151918654,-4.87519732320115
1,"Hazel grouse",2,1961,40,40,0.526865778579452,0.514015393736051,-0.640809452482237,3.71357206670431
1,"Hazel grouse",3,1962,90,90,1.16938502074952,0.642519242170064,0.156477987330305,0.797287439812542
1,"Hazel grouse",4,1963,220,220,2.83993505039168,1.67055002964217,1.04378118233121,0.887303195000903
1,"Hazel grouse",5,1964,300,300,3.86796583786378,1.0280307874721,1.35272874556233,0.308947563231123
1,"Hazel grouse",6,1965,285,285,3.67521006521276,-0.192755772651019,1.30161029163331,-0.0511184539290233
1,"Hazel grouse",7,1966,100,100,1.29788886918353,-2.37732119602924,0.260738997654715,-1.04087129397859
1,"Hazel grouse",8,1967,80,80,1.0408811723155,-0.257007696868025,0.0400676354858939,-0.220671362168821
1,"Hazel grouse",9,1968,110,110,1.42639271761754,0.385511545302038,0.355148682125789,0.315081046639895
1,"Hazel grouse",10,1969,55,55,0.719621551230471,-0.70677116638707,-0.329029828451396,-0.684178510577185
1,"Hazel grouse",11,1970,40,40,0.526865778579452,-0.192755772651019,-0.640809452482237,-0.311779624030842
1,"Hazel grouse",12,1971,10,10,0.141354233277414,-0.385511545302038,-1.95648624638817,-1.31567679390594
1,"Hazel grouse",13,1972,10,10,0.141354233277414,0,-1.95648624638817,0
1,"Hazel grouse",14,1973,100,100,1.29788886918353,1.15653463590611,0.260738997654715,2.21722524404289
1,"Hazel grouse",15,1974,115,115,1.49064464183455,0.192755772651019,0.39920867191982,0.138469674265105
1,"Hazel grouse",16,1975,50,50,0.655369627013465,-0.835275014821083,-0.422555886462219,-0.821764558382039
1,"Hazel grouse",17,1976,40,40,0.526865778579452,-0.128503848434013,-0.640809452482237,-0.218253566020018
1,"Hazel grouse",18,1977,60,60,0.783873475447478,0.257007696868025,-0.243507655013234,0.397301797469004
1,"Hazel grouse",19,1978,35,35,0.462613854362446,-0.321259621085032,-0.770862580730435,-0.527354925717201
1,"Hazel grouse",20,1979,30,30,0.398361930145439,-0.0642519242170064,-0.920394314701399,-0.149531733970964
1,"Hazel grouse",21,1980,90,90,1.16938502074952,0.771023090604076,0.156477987330305,1.0768723020317
1,"Hazel grouse",22,1981,160,160,2.0689119597876,0.899526939038089,0.727022845797918,0.570544858467613
1,"Hazel grouse",23,1982,215,215,2.77568312617468,0.70677116638707,1.02089688849762,0.293874042699702
1,"Hazel grouse",24,1983,150,150,1.94040811135359,-0.835275014821083,0.662898317628379,-0.357998570869241
1,"Hazel grouse",25,1984,50,50,0.655369627013465,-1.28503848434013,-0.422555886462219,-1.0854542040906
1,"Hazel grouse",26,1985,70,70,0.91237732388149,0.257007696868025,-0.0917016421452294,0.33085424431699
1,"Hazel grouse",27,1986,40,40,0.526865778579452,-0.385511545302038,-0.640809452482237,-0.549107810337008
1,"Hazel grouse",28,1987,55,55,0.719621551230471,0.192755772651019,-0.329029828451396,0.311779624030842
1,"Hazel grouse",29,1988,170,170,2.19741580822162,1.47779425699115,0.787282037316115,1.11631186576751
56,"Eurasian oystercatcher",0,1928,40,40,7.02722349813857,NA,1.94979167733094,NA
