"ID","Model","Classification","ObsNoise","ProcessNoise","TSlength","SimNumber","E","tau","theta","R2","modelform","LEmean","LEmin","LEreg","LEreg_se","Classification2","LEregmin","LEregclass","LEclass"
23,"SeasonalPredatorPrey","chaotic",0.1,2,100,"Sim.1",5,1,6,0.966627408032381,"ut-ut",0.312162236070558,0.294966556372093,0.0831775224980191,0.00789080518507219,"chaotic",0.0677115443352776,"chaotic","chaotic"
24,"SeasonalPredatorPrey","chaotic",0.1,3,100,"Sim.1",6,1,3,0.9781184581617,"gr-log",0.132562932406397,0.11947372679744,0.151208314145774,0.00577126950951836,"chaotic",0.139896625907118,"chaotic","chaotic"
25,"SeasonalPredatorPrey","chaotic",0.2,0,100,"Sim.1",6,1,6,0.915552585894192,"ut-ut",0.173666740961725,0.163154549988896,0.0581326927863571,0.00537649801041843,"chaotic",0.047594756685937,"chaotic","chaotic"
26,"SeasonalPredatorPrey","chaotic",0.2,1,100,"Sim.1",4,3,8,0.950895965803294,"gr-log",0.019745762626526,0.0103059252003169,0.058582859695555,0.073770574097605,"chaotic",-0.0860074655357509,"not chaotic","chaotic"
27,"SeasonalPredatorPrey","chaotic",0.2,2,100,"Sim.1",5,4,6,0.917195017035969,"gr-log",0.0302740710904744,0.0195048601685455,0.0304862035982558,0.0836764213990034,"chaotic",-0.133519582343791,"not chaotic","chaotic"
28,"SeasonalPredatorPrey","chaotic",0.2,3,100,"Sim.1",6,1,6,0.953296043977824,"ut-ut",0.156900940832558,0.144919881106364,0.0482680401365211,0.00674460166003142,"chaotic",0.0350486208828596,"chaotic","chaotic"
29,"SeasonalPredatorPrey","chaotic",0.3,0,100,"Sim.1",5,1,4,0.901602304876098,"ut-ut",0.204033826124285,0.188045914525647,0.114472774767667,0.010817764769141,"chaotic",0.0932699558201508,"chaotic","chaotic"
30,"SeasonalPredatorPrey","chaotic",0.3,1,100,"Sim.1",6,1,6,0.876648439605167,"ut-ut",0.226268496892532,0.217033390153665,0.0525215406213453,0.00243325897325732,"chaotic",0.0477523530337609,"chaotic","chaotic"
31,"SeasonalPredatorPrey","chaotic",0.3,2,100,"Sim.1",5,1,4,0.915282133597325,"ut-ut",0.165880896023816,0.145392629216845,0.0977096163708191,0.00576760305708411,"chaotic",0.0864051143789342,"chaotic","chaotic"
32,"SeasonalPredatorPrey","chaotic",0.3,3,100,"Sim.1",4,5,6,0.940440139248305,"gr-log",0.0319300894540305,0.0280981444626266,0.104001599901436,0.104061406759584,"chaotic",-0.0999587573473495,"not chaotic","chaotic"
