ID,Time Series Length,Time Step,Known Tau,Known E,Sim 1 ,Sim 2 ,Sim 3,Sim 4,Sim 5,Sim 6,Sim 7,Sim 8,Sim 9,Sim 10,Sim 11,Sim 12,Sim 13,Sim 14,Sim 15,Sim 16,Sim 17,Sim 18,Sim 19,Sim 20,Sim 21,Sim 22,Sim 23,Sim 24,Sim 25,Sim 26,Sim 27,Sim 28,Sim 29,Sim 30,Sim 31,Sim 32,Sim 33,Sim 34,Sim 35,Sim 36,Sim 37,Sim 38,Sim 39,Sim 40,Sim 41,Sim 42,Sim 43,Sim 44,Sim 45,Sim 46,Sim 47,Sim 48,Sim 49,Sim 50,Sim 51,Sim 52,Sim 53,Sim 54,Sim 55,Sim 56,Sim 57,Sim 58,Sim 59,Sim 60,Sim 61,Sim 62,Sim 63,Sim 64,Sim 65,Sim 66,Sim 67,Sim 68,Sim 69,Sim 70,Sim 71,Sim 72,Sim 73,Sim 74,Sim 75,Sim 76,Sim 77,Sim 78,Sim 79,Sim 80,Sim 81,Sim 82,Sim 83,Sim 84,Sim 85,Sim 86,Sim 87,Sim 88,Sim 89,Sim 90,Sim 91,Sim 92,Sim 93,Sim 94,Sim 95,Sim 96,Sim 97,Sim 98,Sim 99,Sim 100
1,100,1,1,1,0.267289871,0.587507657,4.40862095,3.231611915,1.244442996,4.916378009,0.171186318,4.069337945,0.307637782,0.330071681,3.644042246,0.104236443,4.264697168,0.64887917,0.134086764,0.240569853,1.849392536,0.11532534,2.30045374,0.251965318,6.698302427,4.658333737,0.136816802,6.075991993,5.974625007,0.751422315,1.558685278,1.572765607,2.575330654,6.48991367,0.481370056,2.76248032,4.410531775,3.512220969,0.153313444,5.463330386,6.286274217,0.213714468,4.649874556,0.25367111,0.308380773,3.733655403,2.119710459,0.105507302,2.64155558,6.048883936,2.192592959,3.599557026,2.410251028,6.133564146,3.479886595,1.421229992,3.765402126,0.110930709,6.328144207,7.147628281,6.96769361,7.371967173,5.802392676,0.09176974,6.40594944,3.246545803,0.221046997,7.388883214,3.191525669,5.834402602,2.448164724,4.936163117,5.579120337,7.262818316,1.157908547,3.212818373,0.615245022,3.291569464,7.330093064,3.354502655,2.133641902,6.899242803,1.20247625,5.438766434,0.695852286,0.328870522,0.239490211,0.2388065,5.040438459,3.628296543,0.11506081,1.93063812,5.942448726,0.146126571,3.941337597,7.206501758,1.197020634,5.359709124,1.575611696,2.085390861,7.17833164,6.314084532,0.223824861,0.28485272
1,100,2,1,1,4.109447454,6.557610892,1.077820537,2.563488799,7.201181004,0.72339062,2.897391784,1.39674199,4.542738379,4.765883267,1.913724469,1.886399689,1.20402969,6.811498036,2.355245664,3.798800523,5.844287511,2.064063385,4.630443452,3.93366222,0.165887024,0.887207917,2.396647148,0.280369549,0.305103666,7.119163528,6.58739133,6.553963595,3.937898798,0.197965117,5.974563174,3.503101163,1.076229244,2.104394176,2.641681795,0.46520746,0.235062074,3.466589009,0.893120013,3.953543227,4.550327661,1.79271701,5.111889211,1.906973795,3.780334125,0.286788533,4.915983738,1.97635406,4.346973584,0.267191904,2.153540238,6.891527071,1.751464921,1.994153755,0.226924665,0.112945747,0.13180795,0.093081243,0.35200063,1.681619967,0.21251934,2.53716115,3.559332613,0.091729926,2.635237733,0.342792242,4.251083654,0.712073043,0.42312433,0.102279055,7.306079823,2.596930517,6.67934746,2.459099012,0.096510366,2.353258267,5.074299222,0.139759647,7.256566059,0.474632643,6.969404895,4.75424699,3.785837203,3.777611084,0.655114411,1.935695557,2.059873732,5.624952257,0.313383552,2.536008331,1.537538192,0.107365313,7.263160252,0.506212155,6.547163349,5.204717573,0.110001129,0.229626374,3.594064497,4.303222992
1,100,3,1,1,1.355053756,0.186936826,7.367809503,3.966485126,0.107858406,7.048419828,3.210475843,6.940684388,0.97121406,0.81513594,5.670781043,5.744658099,7.25466214,0.15063645,4.487965019,1.708959733,0.339995526,5.262536695,0.906838585,1.546367504,2.82261758,7.338365717,4.381642224,4.25452756,4.51674979,0.115744131,0.182275881,0.187515532,1.541488461,3.262097658,0.305119374,2.118159306,7.36864803,5.153280218,3.780037624,5.868040243,3.732328382,2.174028954,7.343721077,1.523589356,0.965481424,5.995536895,0.61858531,5.689052933,1.73234897,4.324088266,0.723617852,5.500833924,1.130326231,4.108343715,5.020717602,0.140684656,6.104264433,5.452455308,3.632561864,2.026290061,2.320500066,1.703416892,4.972272885,6.284822677,3.451325564,4.030476666,2.034480383,1.680957318,3.795194518,4.886992261,1.216636731,7.017115053,5.566611114,1.854602857,0.098532093,3.886075037,0.168582984,4.223634509,1.760124916,4.4930987,0.637557512,2.441003478,0.102831934,5.930764942,0.131614899,0.822662976,1.725349863,1.735821411,6.834205366,5.61123684,5.273904361,0.407489629,4.601070594,4.033292302,6.636895897,1.93695387,0.102248902,6.128735368,0.18859914,0.573984932,1.979282142,3.665892673,1.984206799,1.16899135
1,100,4,1,1,7.020169547,3.114531145,0.093416335,1.508921591,1.944890408,0.12299441,2.60112312,0.134891571,7.385935312,7.246102064,0.3924076,0.369210734,0.103000872,2.602513181,1.013525001,6.214747579,4.860696076,0.547756999,7.354928292,6.616331954,3.370452789,0.095823286,1.100518428,1.213436194,0.991082867,2.070691434,3.051063465,3.12236544,6.627714486,2.509974977,4.516911384,5.116078121,0.093348658,0.598309697,1.732726776,0.333364256,1.794459545,4.96569443,0.095381046,6.669064622,7.384551323,0.29983542,6.693216319,0.386544167,6.154166325,1.150403841,7.049031937,0.451159556,7.331499462,1.356185857,0.665547858,2.454887582,0.273822055,0.469358089,1.929722641,5.365107988,4.578093487,6.229021626,0.691843276,0.235349167,2.197747155,1.438222509,5.342854514,6.286510488,1.713505287,0.740510677,7.238786219,0.126341985,0.42748988,5.830295718,1.793367143,1.602114987,2.860767235,1.242420517,6.08155163,1.009488631,6.768853327,4.269111553,1.863597444,0.316443129,2.317548734,7.258174531,6.172352132,6.145126484,0.14774534,0.412109712,0.54273538,5.445396507,0.927946147,1.435180591,0.174775755,5.607823627,1.854112002,0.268273864,3.137007722,6.49389779,5.492876562,1.883589376,5.479492229,7.294713684
1,100,5,1,1,0.126011491,2.777489552,1.70897642,6.702453319,5.586289107,2.184504908,3.876063981,2.36747604,0.09196403,0.103763772,5.323538511,5.12638926,1.866343752,3.872748282,7.388386338,0.249618265,0.756150822,6.361851669,0.094461996,0.177854261,2.327033557,1.748795316,7.354136463,7.242887629,7.388760575,5.244558924,2.899176531,2.762746872,0.176143819,4.097175389,0.99095818,0.616504308,1.70785391,6.60643076,6.153183332,4.797602047,5.990916122,0.69548817,1.741494321,0.170063223,0.092074139,4.462204945,0.16660629,5.274831258,0.262622662,7.313406757,0.122929822,5.771351167,0.096393221,7.018084979,6.870984577,4.234195674,4.182466425,5.895873063,5.627434431,0.503993714,0.944772761,0.246645709,6.9570873,3.735814187,4.902207728,6.856420231,0.513197534,0.235015375,6.20301746,7.092756814,0.104420144,2.236461957,5.599545629,0.343960658,5.993813149,6.483170312,3.288141849,7.204032868,0.279070242,7.388725562,0.15621506,1.199967155,5.806112751,4.631798,4.585785053,0.102689421,0.258651898,0.264618223,2.559954533,5.481751212,6.335262267,0.472070975,7.368928241,6.862762776,2.947545284,0.413267198,5.831614399,4.120519284,2.735356211,0.197299015,0.454106067,5.752242754,0.459103414,0.099503371
1,100,6,1,1,2.231348992,3.469664589,6.214704555,0.165302245,0.420641696,4.937624318,1.614065611,4.456431732,1.684852826,1.878733429,0.52131527,0.611409888,5.798722022,1.618040944,0.091769344,3.906177467,7.130167705,0.220571761,1.726299874,2.990243781,4.561085978,6.111253112,0.094526645,0.104051672,0.091739653,0.555788318,3.206725141,3.502505453,2.966556097,1.36768895,7.388752228,6.684595658,6.217597942,0.179355174,0.262838956,0.794942235,0.300991944,6.968294845,6.130333964,2.881617499,1.68668438,1.034003418,2.832817826,0.542327852,4.056580253,0.097910885,2.18349878,0.361156122,1.758194407,0.126236949,0.143176497,1.23244218,1.282017105,0.325751507,0.406658794,6.11542827,7.377364006,3.871151247,0.133010607,1.789885402,0.731599484,0.144969086,6.170056623,3.731761158,0.252086852,0.118400455,1.889377067,4.799122921,0.416087305,4.897923534,0.300266353,0.19909749,2.46497279,0.10759384,4.240316843,0.091742431,2.683879465,7.259616695,0.350918433,0.90587598,0.939108987,1.861279963,4.01114187,4.079255998,3.975040612,0.458256321,0.225568577,5.913885683,0.093326053,0.144185779,3.106284859,5.490788526,0.343585076,1.343744219,3.564078225,3.253287842,5.791952493,0.366904776,5.826501851,1.809287059
1,100,7,1,1,4.812695585,2.169275715,0.249627276,2.814312663,5.547705498,0.711243801,6.453938788,1.038644662,6.276580906,5.765341639,6.216981097,6.663217095,0.353071579,6.444165705,1.68161337,1.578352843,0.114654393,3.553368575,6.169886504,3.01956003,0.957408399,0.272226383,1.727369673,1.883403796,1.681119223,6.403494786,2.607847244,2.119061078,3.067447,6.996664025,0.091740315,0.167832313,0.249021935,3.010955887,4.059043177,7.21074257,4.47423898,0.131740093,0.267915208,3.243763627,6.27190613,7.384879978,3.348304467,6.333085639,1.410240227,1.783168011,4.940318264,5.055106574,6.086620311,2.234837366,2.492151361,7.217838513,7.145034184,4.723868472,5.438810708,0.271277372,0.092648028,1.619958765,2.338858498,6.003041123,7.070127037,2.518834151,0.259149903,1.795204826,3.935081324,2.112594531,5.73661958,0.793985766,5.512688981,0.734098409,4.466692906,3.277044125,4.208927981,1.940633141,1.226692043,1.68116545,3.681734028,0.102561807,4.962353382,7.35419685,7.374788867,5.812346954,1.459266754,1.386328132,1.499294033,5.820679927,3.615753852,0.320913844,1.707478941,2.507187339,2.79307342,0.454882265,4.89441324,7.040756992,2.027548105,2.525346515,0.355054834,5.106132627,0.345043406,5.951515059
1,100,8,1,1,0.78549731,4.978445159,3.906283284,3.388561176,0.434169148,7.01475782,0.204078985,7.383678762,0.236985691,0.362954707,0.24915087,0.170910598,4.982062448,0.205771176,6.284839481,6.540600337,2.05343224,2.043220977,0.259186847,2.961071231,7.382160686,4.164733755,6.167108925,5.752743513,6.286098152,0.212960008,3.860041082,5.113642789,2.867379709,0.128576585,1.681130244,2.850167467,3.899170243,2.978148242,1.407625297,0.106973875,1.024389983,2.319462819,4.116486699,2.542049491,0.237918806,0.09204798,2.3635143,0.225982423,6.91380292,6.020820544,0.709717334,0.64745393,0.277890719,4.803434067,4.141238828,0.106322008,0.113198022,0.842618969,0.474615493,4.154155508,1.696223586,6.439442256,4.530373974,0.297966287,0.120723969,4.075371895,4.01686396,5.988939183,1.544731679,5.13111147,0.371669795,7.208958504,0.446803464,7.076570544,1.030408563,2.484068424,1.256437076,5.597841853,7.22559156,6.285980418,1.861997464,1.859204166,0.697346207,0.094521713,0.092854494,0.349111992,6.811874453,6.961051136,6.724115009,0.346711296,1.953351307,4.676283004,6.218564163,4.104049641,3.435179408,5.797350967,0.736151867,0.123805771,5.361689485,4.059386168,5.000121069,0.621455896,4.908024595,0.311028964
1,100,9,1,1,7.19268433,0.688439709,1.578228588,2.297552035,5.649176447,0.126597612,3.3423456,0.092143626,3.755640313,5.071152284,3.900686127,2.893522802,0.686452329,3.364361841,0.235345842,0.189650688,5.291387064,5.31911266,4.017288177,3.078615165,0.09226464,1.299420758,0.259790753,0.366753016,0.235096879,3.45695833,1.633355919,0.61771335,3.274021057,2.270937761,6.286070083,3.310867653,1.586600266,3.043942256,6.919052242,1.930647604,7.386893741,4.580796066,1.347853541,4.018550039,3.766911294,1.686249287,4.466634969,3.620888792,0.138030158,0.293582382,7.010395766,6.806230422,4.227377993,0.79128033,1.322807205,1.920134072,2.030303704,7.287354705,5.930652353,1.309903739,6.247496191,0.206593884,0.980620757,4.442684381,2.149053349,1.390398101,1.45301038,0.301488054,6.620153425,0.60909004,5.147858167,0.107138379,5.740579006,0.120057902,7.385708312,4.161307326,7.18390367,0.41667001,0.105614199,0.235120156,5.810417069,5.817929034,6.973941162,1.727288067,1.699652661,4.945734529,0.150588079,0.132559902,0.162282816,4.923530519,5.563320873,0.874782986,0.248820102,1.360598345,2.223071384,0.353472396,7.081808355,2.19713212,0.505397335,1.407261481,0.676610879,6.705001697,0.728219288,4.577265633
1,100,10,1,1,0.108650401,6.946464031,6.540898121,4.638041508,0.399450002,2.240414196,2.373408804,1.687839999,1.764060899,0.639170385,1.584812875,3.218617502,6.940190156,2.337019637,3.735773823,3.151182976,0.535097317,0.523192317,1.452547505,2.845858299,1.68985216,7.117082189,4.024217491,5.10479526,3.732751099,2.188969264,6.406293235,6.689612069,2.489290807,4.707961894,0.235102428,2.426239754,6.520775193,2.913080796,0.137411742,5.624926543,0.091887854,0.942779107,7.033326754,1.451171428,1.749524587,6.273016998,1.030454898,1.946106533,2.414969745,4.396552131,0.127071976,0.151314929,1.238875295,7.203857854,7.07769963,5.653421522,5.354202068,0.100137194,0.316472751,7.099681429,0.242849003,3.375035322,7.387650543,1.049773476,5.032787941,6.953130631,6.825237564,4.479390827,0.177278227,6.653351991,0.600929636,1.93329849,0.370456619,2.138620422,0.091982081,1.302808033,0.109474816,5.517193335,1.908701844,3.733033783,0.349670248,0.347502065,0.131104489,6.167320842,6.238696412,0.706657597,2.601803348,2.3319841,2.77126112,0.719279933,0.428645234,7.326057951,3.896796373,7.0099195,4.834696532,4.985719471,0.119519103,4.903850967,6.123858109,6.919781006,6.908345526,0.164944219,7.061289302,0.945384235
