"MainID","datasetlength","tslengthcat","R2abund","R2gr","predictable_ag","E","tau","theta","LEmean","LEmin","LEmin_mo","LEmin_gen","LEclass"
1,30,"full",0.397004947860806,0.191558987601628,"a",5,1,0,-0.117292162397477,-0.137900304726849,-0.0114916920605707,-0.114916920605707,"not chaotic"
56,52,"full",0.439738700516935,0.060085630375598,"a",1,1,0,-0.396767721932903,-0.400420656315262,-0.0333683880262719,-1.20126196894579,"not chaotic"
57,52,"full",0.522411675686906,0.390850619485603,"ag",3,2,2,-0.0945206744068174,-0.111699440302557,-0.00930828669187975,-0.111699440302557,"not chaotic"
58,52,"full",0.706209637725555,0.0477277025694058,"a",1,1,1,-0.179794785301303,-0.186304353357716,-0.0155253627798096,-0.186304353357716,"not chaotic"
59,52,"full",0.946216394404167,0.644306519979755,"ag",2,2,8,0.131119656434277,0.121193223816791,0.0100994353180659,0.121193223816791,"chaotic"
60,52,"full",0.956996036239759,-0.0492469919164786,"a",1,1,0,-0.000261202531439718,-0.00925479125866707,-0.000771232604888923,-0.00771232604888923,"not chaotic"
61,52,"full",0.687699915001084,0.291881182977902,"ag",2,1,4,-0.233957672667827,-0.257173336051617,-0.0214311113376347,-0.257173336051617,"not chaotic"
64,52,"full",0.176917725240958,0.143268028089875,"none",1,1,0,-0.642896318600035,-0.646316593744251,-0.0538597161453543,-1.2926331874885,"not chaotic"
65,52,"full",0.836389212754554,0.121646171955619,"a",3,1,8,0.0719792459263465,0.0568413222727076,0.00473677685605897,0.0568413222727076,"chaotic"
1150,50,"full",0.0342922453787332,0.503714048211688,"g",1,3,1.5,-0.560793948409845,-0.588436278908132,-0.0490363565756777,-0.294218139454066,"not chaotic"
1153,50,"full",0.709459091914868,0.107486791330709,"a",1,1,1.5,-0.256493566513766,-0.275717553512243,-0.0229764627926869,-0.229764627926869,"not chaotic"
1154,50,"full",0.315841448488658,0.17347171009157,"a",3,1,1.5,-0.321772094756251,-0.343816713452764,-0.0286513927877304,-0.286513927877304,"not chaotic"
1155,50,"full",0.742165038579165,0.469045572343906,"ag",3,2,4,0.179137440138628,0.156484536594718,0.0130403780495598,0.156484536594718,"chaotic"
1157,50,"full",0.0451459751574329,0.481076001316791,"g",1,1,0.75,-1.20202053168891,-1.22995769897964,-0.10249647491497,-1.0249647491497,"not chaotic"
1158,50,"full",0.299209537951342,0.322292202294401,"ag",1,1,1.5,-0.739819376047921,-0.785842049730213,-0.0654868374775177,-0.785842049730213,"not chaotic"
1159,50,"full",0.356524732407548,0.255475520910395,"ag",5,1,0,-0.115041410023798,-0.128333262869963,-0.0106944385724969,-0.128333262869963,"not chaotic"
1161,50,"full",0.865997106740468,-0.372634854260857,"a",5,1,0,-0.136176323098773,-0.145507449949994,-0.0121256208291661,-0.291014899899987,"not chaotic"
1162,39,"full",0.169199670759785,0.140010809384482,"none",1,1,0,-0.641808313281149,-0.644059372226736,-0.053671614352228,-0.644059372226736,"not chaotic"
1163,50,"full",0.598502961331306,0.105470742768655,"a",1,1,0.5,-0.160094600929913,-0.162606430145972,-0.0135505358454976,-0.135505358454976,"not chaotic"
1166,43,"full",0.558161844281137,0.117661991791172,"a",1,1,0,-0.258901783150713,-0.26020341978746,-0.0216836183156217,-0.216836183156217,"not chaotic"
1169,50,"full",0.231126682320779,0.352258028880849,"ag",2,1,1.5,-0.408870816376015,-0.444720660434755,-0.0370600550362296,-0.444720660434755,"not chaotic"
1170,50,"full",0.272570350108613,0.17588074981269,"a",1,1,0,-0.594653676443281,-0.597456604354775,-0.0497880503628979,-0.597456604354775,"not chaotic"
1173,30,"full",0.196078962148643,0.573416448773279,"g",3,2,6,0.145996190069426,0.115513958104988,0.0096261631754157,0.096261631754157,"chaotic"
1176,53,"full",0.413094689441697,0.0997226524864488,"a",1,1,0,-0.374290250104359,-0.374624010073583,-0.0312186675061319,-0.312186675061319,"not chaotic"
1178,53,"full",0.287949566135625,0.104116271147975,"a",1,1,0.1,-0.482435551162166,-0.492287311416849,-0.0410239426180707,-0.492287311416849,"not chaotic"
1179,53,"full",0.379670719351022,0.107239248167667,"a",2,1,0,-0.222151756555676,-0.228875629259175,-0.0190729691049313,-0.190729691049313,"not chaotic"
1180,53,"full",0.32120147804814,0.278646972614145,"ag",3,1,2,-0.2843010901514,-0.314893595282901,-0.0262411329402418,-0.314893595282901,"not chaotic"
1181,53,"full",0.532744859604433,0.694332829290892,"ag",2,1,6,0.544011646567165,0.511844966019909,0.0426537471683257,1.02368993203982,"chaotic"
1182,46,"full",0.497204141417475,0.175283453994536,"a",4,1,0,-0.039995345909298,-0.0463797780584442,-0.00386498150487035,-0.0463797780584442,"not chaotic"
1183,53,"full",0.0194353281361077,0.575718730323751,"g",1,4,0.75,-0.593666991387499,-0.60870066016233,-0.0507250550135275,-0.60870066016233,"not chaotic"
1184,51,"full",0.0547396285503631,0.670876107691452,"g",2,3,0,-0.198778656325465,-0.211752910475588,-0.0176460758729656,-0.176460758729656,"not chaotic"
1187,53,"full",0.379500160118892,0.352483246896556,"ag",1,1,0,-0.6687610219906,-0.669564792129605,-0.0557970660108004,-0.669564792129605,"not chaotic"
1188,53,"full",0.102101552226147,0.764622251218698,"g",1,5,8,0.0914950477732259,0.0618509762852949,0.00515424802377458,0.0618509762852949,"chaotic"
1189,53,"full",0.0786877948998336,0.696705148829908,"g",1,5,3,-0.0887765811619372,-0.101347327197102,-0.00844561059975853,-0.0844561059975853,"not chaotic"
