MainID,TaxonID,TaxonName,CommonName,TaxonomicPhylum,TaxonomicClass,TaxonomicOrder,Biome,Mass_g,Length_mm,MinAge_mo,Lifespan_mo,Fertility,TrL,Notes,Size_other,GT_other
5020,790,Macaca sylvanus,Barbary macaque,Chordata,Mammalia,Primates,Terrestrial,11200,600,30,240,0.5,4,,,
5021,793,Asterionella formosa,Pennate diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Pennales,Freshwater,5.00E-09,0.1,0.03,0.03,NA,1,various sources,,
5037,760,Falco sparverius,American hawk,Chordata,Aves,Falconiformes,Terrestrial,116,270,18,120,5,5,,,
5039,186,Buteo jamaicensis,Red-tailed hawk,Chordata,Aves,Falconiformes,Terrestrial,1362,550,24,192,3,5,,,
5040,761,Circus cyaneus,Marsh hawk or Hen harrier,Chordata,Aves,Falconiformes,Terrestrial,435,500,24,144,3,5,,,
5043,762,Buteo lineatus,Red-shouldered hawk or Buzzard,Chordata,Aves,Falconiformes,Terrestrial,559,420,24,144,3,5,,,
5044,763,Buteo lagopus,Rough-legged hawk (buzzard),Chordata,Aves,Falconiformes,Terrestrial,956,560,24,216,5,5,,,
6104,10666,Chaetoceras ,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,2.67E-08,0.0371,0.02449,0.02449,NA,1,avg of species; sphere estimate,,
6105,10667,Chaetoceras decipiens,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,2.63E-08,0.0369,0.03097,0.03097,NA,1,Baars 1981; sphere estimate,36.9 um,22.3 h
6106,10668,Chaetoceras debile,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,1.56E-08,0.031,0.0203,0.0203,NA,1,Baars 1981; sphere estimate,31 um,14.6 h
6107,10669,Chaetoceras teres,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,4.28E-08,0.0434,0.0222,0.0222,NA,1,Baars 1981; sphere estimate,43.4 um,16 h
6109,10671,Rhizosolenia ,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,8.18E-09,0.025,0.0255,0.0255,NA,1,avg of species; sphere estimate,,
6110,10672,Rhizosolenia semispina,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,8.18E-09,0.025,0.025,0.025,NA,1,gen time assumed intermediate between other species; sphere estimate,25 um,
6111,10673,Rhizosolenia shrubsolei,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,9.51E-10,0.0122,0.0278,0.0278,NA,1,Baars 1981; R. setigera congener of similar size; sphere estimate,12.2 um,20 h
6112,10674,Rhizosolenia stolterfothii,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,2.85E-08,0.0379,0.02375,0.02375,NA,1,Baars 1981; sphere estimate,37.9 um,17.1 h
